ID_NUM,GRADE_CDE,CRS_GPA
305943,A,4.00
478235,A,4.00
478235,B,3.00
478235,A,4.00
478235,A,4.00
480654,A,4.00
480654,A,4.00
480654,A,4.00
480654,A,4.00
480654,A,4.00
480966,A-,3.70
480966,A,4.00
480966,A,4.00
480966,A-,3.70
480966,A,4.00
480966,A,4.00
480966,A,4.00
480966,A,4.00
480966,A,4.00
480966,A,4.00
480966,A,4.00
481789,D,1.00
481789,A,4.00
481789,C+,2.30
481789,B,3.00
481789,C+,2.30
481789,A,4.00
481789,B-,2.70
481789,B+,3.30
481789,A,4.00
481789,A,4.00
481789,B-,2.70
481789,B,3.00
481789,D,1.00
481886,A,4.00
481907,A-,3.70
482177,B-,2.70
482178,F,0.00
482207,A,4.00
482272,F,0.00
482277,A,4.00
482308,A,4.00
482365,A-,3.70
482397,B,3.00
482447,A,4.00
482454,A-,3.70
1620832,B+,3.30
1620832,A,4.00
1620832,A-,3.70
1620832,A,4.00
1620832,B,3.00
1620832,A,4.00
1699840,B+,3.30
1699840,A,4.00
1699840,B,3.00
1699840,C-,1.70
1699840,D+,1.30
1699840,A,4.00
1699840,B,3.00
1699840,A,4.00
1699840,A,4.00
1699840,A-,3.70
1699840,B,3.00
1699840,B+,3.30
1714207,A,4.00
1714207,A,4.00
1714207,A,4.00
1714207,A,4.00
1714207,B,3.00
1714207,A,4.00
1714207,A,4.00
1714207,A,4.00
1714207,A,4.00
1714207,A,4.00
1714207,A,4.00
1715053,IN,0.00
1715053,IN,0.00
1715053,IN,0.00
1715568,B-,2.70
1715568,A-,3.70
1715568,A,4.00
1715568,A,4.00
1715568,A-,3.70
1715568,B,3.00
1715568,A,4.00
1715568,B-,2.70
1715568,B-,2.70
1715568,A,4.00
1715568,A,4.00
1715568,B,3.00
1715578,B+,3.30
1715578,IN,0.00
1715578,B,3.00
1715578,A-,3.70
1715578,B,3.00
1715578,A,4.00
1715578,A,4.00
1715578,B-,2.70
1715578,A,4.00
1715631,B,3.00
1715631,A-,3.70
1715631,B-,2.70
1715631,B+,3.30
1715631,C,2.00
1715631,B-,2.70
1715631,D,1.00
1715631,C-,1.70
1715631,C-,1.70
1715631,C+,2.30
1715631,A,4.00
1715631,C-,1.70
1715631,C-,1.70
1716043,A,4.00
1716043,A,4.00
1716296,B,3.00
1716296,A-,3.70
1716296,B,3.00
1716296,C,2.00
1716430,B-,2.70
1716430,A-,3.70
1716430,B-,2.70
1716430,C-,1.70
1716430,D-,0.70
1716430,A-,3.70
1716430,C-,1.70
1716430,D,1.00
1716523,A,4.00
1716523,B+,3.30
1716523,A,4.00
1716523,A,4.00
1716523,A,4.00
1716523,B-,2.70
1716523,B+,3.30
1716523,A,4.00
1716523,B-,2.70
1716523,A-,3.70
1716523,B+,3.30
1716523,B,3.00
1716523,A-,3.70
1716598,B,3.00
1716598,C,2.00
1716598,B+,3.30
1716598,B,3.00
1716598,B,3.00
1716598,C+,2.30
1716598,A,4.00
1716598,A,4.00
1716598,B+,3.30
1716598,A,4.00
1716634,C-,1.70
1716634,C,2.00
1716634,D-,0.70
1716634,C+,2.30
1716634,D,1.00
1716634,F,0.00
1716634,A,4.00
