2023-10-06 23:10:41,507.FinalProject.INFO ==================================================
2023-10-06 23:10:41,507.FinalProject.INFO Today is 2023-10-06 at 11:10 PM
2023-10-06 23:10:41,507.FinalProject.INFO Running on: nt Windows 10
2023-10-06 23:10:41,507.FinalProject.INFO Python version:  3.10.9
2023-10-06 23:10:41,507.FinalProject.INFO Python path: C:\Users\rp150\rp-venv\44671_StreamingData\Module7\streaming-07-final-project\.venv
2023-10-06 23:10:41,507.FinalProject.INFO Working dir: C:\Users\rp150\rp-venv\44671_StreamingData\Module7\streaming-07-final-project
2023-10-06 23:10:41,507.FinalProject.INFO ==================================================
2023-10-06 23:10:43,638.FinalProject.INFO Reading messages from FinalProjectData.csv...
2023-10-06 23:10:43,638.FinalProject.INFO --- To close the program please select CTRL + c on your keyboard. ---
2023-10-06 23:10:43,638.FinalProject.INFO Prepared binary message b'[305943,A]'....
2023-10-06 23:10:43,653.FinalProject.INFO Prepared binary message b'[305943,4.00]'....
2023-10-06 23:10:48,664.FinalProject.INFO Prepared binary message b'[478235,A]'....
2023-10-06 23:10:48,680.FinalProject.INFO Prepared binary message b'[478235,4.00]'....
2023-10-06 23:10:53,699.FinalProject.INFO Prepared binary message b'[478235,B]'....
2023-10-06 23:10:53,699.FinalProject.INFO Prepared binary message b'[478235,3.00]'....
2023-10-06 23:10:58,715.FinalProject.INFO Prepared binary message b'[478235,A]'....
2023-10-06 23:10:58,746.FinalProject.INFO Prepared binary message b'[478235,4.00]'....
2023-10-06 23:11:03,771.FinalProject.INFO Prepared binary message b'[478235,A]'....
2023-10-06 23:11:03,771.FinalProject.INFO Prepared binary message b'[478235,4.00]'....
2023-10-06 23:11:08,792.FinalProject.INFO Prepared binary message b'[480654,A]'....
2023-10-06 23:11:08,802.FinalProject.INFO Prepared binary message b'[480654,4.00]'....
2023-10-06 23:11:13,820.FinalProject.INFO Prepared binary message b'[480654,A]'....
2023-10-06 23:11:13,842.FinalProject.INFO Prepared binary message b'[480654,4.00]'....
2023-10-06 23:11:18,885.FinalProject.INFO Prepared binary message b'[480654,A]'....
2023-10-06 23:11:18,916.FinalProject.INFO Prepared binary message b'[480654,4.00]'....
2023-10-06 23:11:23,955.FinalProject.INFO Prepared binary message b'[480654,A]'....
2023-10-06 23:11:23,986.FinalProject.INFO Prepared binary message b'[480654,4.00]'....
